state,year,count,deaths
Abia state,2000,3,51
Abia state,2011,1,0
Abia state,2016,3,15
Abia state,2019,2,2
Abia state,2020,3,3
Abia state,2021,4,3
Abia state,2022,4,13
Abia state,2023,5,4
Abia state,2024,14,44
Adamawa state,2003,2,110
Adamawa state,2004,2,162
Adamawa state,2008,3,7
Adamawa state,2009,1,0
Adamawa state,2011,3,29
Adamawa state,2012,18,66
Adamawa state,2013,12,48
Adamawa state,2014,72,1587
Adamawa state,2015,42,454
Adamawa state,2016,12,153
Adamawa state,2017,34,269
Adamawa state,2018,34,230
Adamawa state,2019,13,66
Adamawa state,2020,12,99
Adamawa state,2021,5,44
Adamawa state,2022,7,70
Adamawa state,2023,5,112
Adamawa state,2024,4,15
Akwa Ibom state,1992,1,0
Akwa Ibom state,1994,1,0
Akwa Ibom state,1995,1,1
Akwa Ibom state,2000,1,45
Akwa Ibom state,2011,9,15
Akwa Ibom state,2012,1,4
Akwa Ibom state,2016,2,8
Akwa Ibom state,2017,6,34
Akwa Ibom state,2019,1,3
Akwa Ibom state,2020,5,8
Akwa Ibom state,2021,7,24
Akwa Ibom state,2022,1,3
Akwa Ibom state,2023,1,1
Akwa Ibom state,2024,1,2
Anambra state,1999,2,420
Anambra state,2000,3,32
Anambra state,2001,4,57
Anambra state,2002,5,63
Anambra state,2005,3,7
Anambra state,2006,5,85
Anambra state,2007,1,1
Anambra state,2008,2,7
Anambra state,2011,1,0
Anambra state,2014,1,1
Anambra state,2015,2,7
Anambra state,2016,3,27
Anambra state,2017,2,2
Anambra state,2018,4,19
Anambra state,2019,4,10
Anambra state,2020,1,2
Anambra state,2021,15,26
Anambra state,2022,17,51
Anambra state,2023,16,48
Anambra state,2024,29,50
Bauchi state,1991,2,150
Bauchi state,2006,2,25
Bauchi state,2007,2,7
Bauchi state,2009,3,64
Bauchi state,2010,5,6
Bauchi state,2011,20,108
Bauchi state,2012,12,44
Bauchi state,2013,3,1
Bauchi state,2014,10,62
Bauchi state,2015,1,0
Bauchi state,2019,1,3
Bauchi state,2020,1,2
Bauchi state,2023,1,1
Bauchi state,2024,2,2
Bayelsa state,1997,1,3
Bayelsa state,1998,3,19
Bayelsa state,1999,12,2500
Bayelsa state,2000,1,2
Bayelsa state,2002,3,41
Bayelsa state,2003,3,43
Bayelsa state,2004,1,7
Bayelsa state,2008,3,6
Bayelsa state,2009,2,5
Bayelsa state,2011,5,23
Bayelsa state,2012,3,3
Bayelsa state,2016,2,8
Bayelsa state,2019,4,4
Bayelsa state,2020,3,7
Bayelsa state,2022,6,9
Bayelsa state,2024,2,2
Benue state,1998,1,32
Benue state,2001,8,684
Benue state,2003,2,17
Benue state,2004,10,439
Benue state,2005,3,17
Benue state,2008,1,1
Benue state,2010,1,4
Benue state,2011,12,177
Benue state,2012,11,81
Benue state,2013,30,289
Benue state,2014,19,56
Benue state,2015,11,215
Benue state,2016,31,304
Benue state,2017,18,89
Benue state,2018,69,385
Benue state,2019,20,108
Benue state,2020,17,39
Benue state,2021,28,222
Benue state,2022,34,213
Benue state,2023,45,332
Benue state,2024,40,345
Borno state,2003,1,1
Borno state,2004,4,23
Borno state,2006,1,21
Borno state,2009,7,294
Borno state,2010,20,23
Borno state,2011,89,149
Borno state,2012,150,620
Borno state,2013,165,2119
Borno state,2014,285,6653
Borno state,2015,305,6998
Borno state,2016,290,2905
Borno state,2017,378,2526
Borno state,2018,249,1443
Borno state,2019,289,1541
Borno state,2020,425,2253
Borno state,2021,260,2026
Borno state,2022,226,1904
Borno state,2023,360,2375
Borno state,2024,229,1829
Cross River state,2000,1,45
Cross River state,2002,1,10
Cross River state,2003,1,1
Cross River state,2010,2,30
Cross River state,2012,2,44
Cross River state,2013,1,5
Cross River state,2017,2,152
Cross River state,2018,2,2
Cross River state,2019,3,6
Cross River state,2022,2,14
Cross River state,2023,2,2
Cross River state,2024,1,8
Delta state,1996,1,1
Delta state,1997,12,437
Delta state,1998,8,105
Delta state,1999,14,210
Delta state,2003,24,194
Delta state,2004,6,20
Delta state,2005,2,2
Delta state,2007,1,4
Delta state,2008,3,4
Delta state,2009,4,17
Delta state,2011,5,4
Delta state,2013,1,1
Delta state,2015,1,5
Delta state,2016,5,41
Delta state,2017,1,2
Delta state,2019,3,9
Delta state,2020,7,12
Delta state,2021,1,0
Delta state,2022,8,14
Delta state,2023,6,4
Delta state,2024,7,12
Ebonyi state,2003,4,25
Ebonyi state,2004,1,18
Ebonyi state,2006,1,2
Ebonyi state,2008,2,20
Ebonyi state,2009,2,14
Ebonyi state,2010,4,22
Ebonyi state,2011,3,54
Ebonyi state,2018,2,4
Ebonyi state,2019,2,3
Ebonyi state,2020,2,4
Ebonyi state,2021,13,92
Ebonyi state,2022,9,31
Ebonyi state,2023,4,5
Ebonyi state,2024,5,26
Edo state,2003,2,2
Edo state,2005,5,22
Edo state,2006,2,11
Edo state,2008,4,10
Edo state,2009,2,23
Edo state,2010,5,27
Edo state,2011,5,26
Edo state,2012,6,25
Edo state,2013,2,22
Edo state,2014,4,41
Edo state,2015,3,28
Edo state,2016,6,18
Edo state,2019,10,32
Edo state,2020,11,46
Edo state,2022,2,3
Edo state,2023,11,23
Edo state,2024,4,9
Ekiti state,2004,1,6
Ekiti state,2009,1,0
Ekiti state,2011,2,2
Ekiti state,2014,1,0
Ekiti state,2018,2,2
Ekiti state,2021,1,6
Enugu state,1999,1,1
Enugu state,2003,1,5
Enugu state,2005,1,10
Enugu state,2006,3,9
Enugu state,2007,1,2
Enugu state,2008,2,2
Enugu state,2009,1,1
Enugu state,2016,7,20
Enugu state,2019,3,1
Enugu state,2021,10,18
Enugu state,2022,17,44
Enugu state,2023,10,19
Enugu state,2024,16,35
Federal Capital territory,2009,1,3
Federal Capital territory,2011,5,71
Federal Capital territory,2012,2,5
Federal Capital territory,2014,4,119
Federal Capital territory,2015,1,20
Federal Capital territory,2018,2,40
Federal Capital territory,2022,2,3
Federal Capital territory,2023,3,3
Gombe state,2000,1,10
Gombe state,2007,1,1
Gombe state,2011,2,11
Gombe state,2012,5,26
Gombe state,2013,4,16
Gombe state,2014,7,90
Gombe state,2015,11,57
Gombe state,2020,2,0
Gombe state,2021,2,15
Gombe state,2022,1,2
Gongola state,1990,1,9
Imo state,2001,3,19
Imo state,2003,1,1
Imo state,2007,1,4
Imo state,2008,1,1
Imo state,2015,2,5
Imo state,2016,3,10
Imo state,2019,2,2
Imo state,2020,1,1
Imo state,2021,29,81
Imo state,2022,30,78
Imo state,2023,26,34
Imo state,2024,33,94
Jigawa state,2011,2,8
Jigawa state,2012,1,1
Jigawa state,2013,1,3
Jigawa state,2014,3,71
Jigawa state,2023,2,1
Kaduna state,1992,6,582
Kaduna state,1996,1,2
Kaduna state,1998,1,0
Kaduna state,1999,1,100
Kaduna state,2000,7,1850
Kaduna state,2001,2,11
Kaduna state,2002,18,221
Kaduna state,2008,1,0
Kaduna state,2010,2,6
Kaduna state,2011,11,692
Kaduna state,2012,26,201
Kaduna state,2013,10,55
Kaduna state,2014,19,285
Kaduna state,2015,9,66
Kaduna state,2016,10,125
Kaduna state,2017,10,76
Kaduna state,2018,7,82
Kaduna state,2019,9,156
Kaduna state,2020,37,246
Kaduna state,2021,8,37
Kaduna state,2022,9,66
Kaduna state,2023,5,74
Kaduna state,2024,1,2
Kano state,1991,1,200
Kano state,1998,3,17
Kano state,1999,2,33
Kano state,2001,2,200
Kano state,2003,2,3
Kano state,2004,3,225
Kano state,2007,1,9
Kano state,2009,2,3
Kano state,2011,3,14
Kano state,2012,36,263
Kano state,2013,17,77
Kano state,2014,9,132
Kano state,2015,6,57
Kano state,2016,1,1
Kano state,2017,1,0
Kano state,2019,1,2
Kano state,2020,1,2
Kano state,2022,2,2
Katsina state,2011,3,15
Katsina state,2013,1,0
Katsina state,2014,1,2
Katsina state,2020,2,11
Kebbi state,2004,1,3
Kebbi state,2023,1,1
Kebbi state,2024,1,6
Kogi state,2003,1,2
Kogi state,2008,2,26
Kogi state,2012,5,36
Kogi state,2013,2,2
Kogi state,2014,1,0
Kogi state,2015,3,6
Kogi state,2016,1,2
Kogi state,2018,5,38
Kogi state,2019,10,29
Kogi state,2020,7,11
Kogi state,2022,11,37
Kogi state,2023,4,10
Kogi state,2024,2,31
Kwara state,2002,1,2
Kwara state,2003,4,5
Kwara state,2013,2,4
Kwara state,2014,2,9
Kwara state,2015,2,18
Kwara state,2017,2,8
Kwara state,2018,2,5
Kwara state,2020,1,1
Kwara state,2021,3,9
Kwara state,2022,6,8
Kwara state,2023,4,9
Kwara state,2024,3,2
Lagos state,1992,1,1
Lagos state,1993,1,2
Lagos state,1994,3,6
Lagos state,1996,1,1
Lagos state,1998,2,58
Lagos state,2000,3,4
Lagos state,2002,2,101
Lagos state,2003,7,26
Lagos state,2005,1,1
Lagos state,2007,1,3
Lagos state,2008,1,1
Lagos state,2009,2,5
Lagos state,2010,1,1
Lagos state,2011,5,8
Lagos state,2012,4,19
Lagos state,2013,11,19
Lagos state,2014,9,12
Lagos state,2015,6,10
Lagos state,2016,10,35
Lagos state,2017,3,9
Lagos state,2018,5,7
Lagos state,2019,32,63
Lagos state,2020,8,26
Lagos state,2021,9,15
Lagos state,2022,12,14
Lagos state,2023,10,17
Lagos state,2024,5,7
Nasarawa state,1997,1,10
Nasarawa state,2001,1,200
Nasarawa state,2003,1,4
Nasarawa state,2009,2,33
Nasarawa state,2011,8,11
Nasarawa state,2012,5,75
Nasarawa state,2013,16,142
Nasarawa state,2014,28,260
Nasarawa state,2015,2,3
Nasarawa state,2016,4,34
Nasarawa state,2018,31,167
Nasarawa state,2019,2,5
Nasarawa state,2020,5,7
Nasarawa state,2021,8,74
Nasarawa state,2022,4,16
Nasarawa state,2023,3,4
Nasarawa state,2024,3,10
Niger state,2006,1,9
Niger state,2009,1,1
Niger state,2011,4,8
Niger state,2012,2,4
Niger state,2014,1,1
Niger state,2016,2,4
Niger state,2019,1,1
Niger state,2021,1,2
Niger state,2022,4,26
Niger state,2023,2,4
Niger state,2024,8,73
Nigeria,2001,2,3
Nigeria,2003,1,1
Nigeria,2004,1,10
Nigeria,2005,1,100
Nigeria,2010,1,0
Nigeria,2012,1,1
Nigeria,2014,3,10
Nigeria,2015,2,256
Nigeria,2016,1,32
Nigeria,2017,1,20
Nigeria,2018,2,12
Nigeria,2019,7,20
Nigeria,2020,6,10
Nigeria,2021,10,30
Nigeria,2022,5,79
Nigeria,2023,1,15
Nigeria,2024,1,33
Ogun state,1999,1,60
Ogun state,2004,1,2
Ogun state,2010,4,8
Ogun state,2011,1,1
Ogun state,2012,1,3
Ogun state,2014,5,12
Ogun state,2015,5,16
Ogun state,2016,5,15
Ogun state,2017,3,4
Ogun state,2018,2,5
Ogun state,2019,10,27
Ogun state,2021,6,14
Ogun state,2022,9,26
Ogun state,2023,12,39
Ogun state,2024,9,13
Ondo state,1998,3,51
Ondo state,1999,2,70
Ondo state,2004,1,2
Ondo state,2011,1,1
Ondo state,2015,1,1
Ondo state,2017,3,13
Ondo state,2018,2,1
Ondo state,2019,5,9
Ondo state,2020,1,3
Ondo state,2021,3,12
Ondo state,2022,3,42
Ondo state,2023,1,1
Ondo state,2024,1,1
Osun state,1997,5,144
Osun state,1998,4,34
Osun state,2000,8,61
Osun state,2001,1,1
Osun state,2004,1,0
Osun state,2014,1,2
Osun state,2015,1,1
Osun state,2017,1,46
Osun state,2018,1,1
Osun state,2019,2,5
Osun state,2020,2,1
Osun state,2021,6,7
Osun state,2022,5,14
Osun state,2023,5,7
Osun state,2024,2,6
Oyo state,1998,4,39
Oyo state,2000,1,3
Oyo state,2002,1,3
Oyo state,2004,2,7
Oyo state,2007,1,5
Oyo state,2011,4,31
Oyo state,2016,1,3
Oyo state,2017,1,1
Oyo state,2018,3,15
Oyo state,2019,4,3
Oyo state,2020,7,3
Oyo state,2021,7,27
Oyo state,2022,2,0
Oyo state,2023,2,4
Oyo state,2024,3,4
Plateau state,1994,1,4
Plateau state,2001,6,1071
Plateau state,2002,11,130
Plateau state,2004,30,1008
Plateau state,2006,1,25
Plateau state,2008,3,333
Plateau state,2010,40,847
Plateau state,2011,32,192
Plateau state,2012,41,126
Plateau state,2013,24,195
Plateau state,2014,23,210
Plateau state,2015,23,223
Plateau state,2016,1,4
Plateau state,2017,17,79
Plateau state,2018,65,436
Plateau state,2019,16,33
Plateau state,2020,15,46
Plateau state,2021,24,98
Plateau state,2022,15,57
Plateau state,2023,43,514
Plateau state,2024,25,140
Rivers state,1990,1,80
Rivers state,1992,1,60
Rivers state,1993,6,1176
Rivers state,1994,11,80
Rivers state,1996,1,3
Rivers state,1997,1,1
Rivers state,1998,2,2
Rivers state,1999,2,25
Rivers state,2000,1,1
Rivers state,2001,1,1
Rivers state,2002,2,8
Rivers state,2003,3,6
Rivers state,2004,15,126
Rivers state,2005,6,74
Rivers state,2006,7,44
Rivers state,2007,12,121
Rivers state,2008,3,14
Rivers state,2009,6,14
Rivers state,2010,2,2
Rivers state,2011,4,8
Rivers state,2012,8,49
Rivers state,2013,4,19
Rivers state,2014,6,24
Rivers state,2015,11,51
Rivers state,2016,16,64
Rivers state,2017,8,39
Rivers state,2018,2,2
Rivers state,2019,14,49
Rivers state,2020,7,13
Rivers state,2021,3,12
Rivers state,2022,2,6
Rivers state,2023,6,14
Rivers state,2024,1,7
Sokoto state,2003,2,2
Sokoto state,2011,3,8
Sokoto state,2012,2,11
Sokoto state,2013,2,4
Sokoto state,2019,1,0
Sokoto state,2021,6,37
Taraba state,1991,1,30
Taraba state,1992,3,300
Taraba state,1993,1,7
Taraba state,1996,1,80
Taraba state,1999,2,100
Taraba state,2001,10,188
Taraba state,2002,1,50
Taraba state,2004,5,57
Taraba state,2010,1,0
Taraba state,2011,1,4
Taraba state,2012,16,39
Taraba state,2013,5,80
Taraba state,2014,20,256
Taraba state,2015,12,122
Taraba state,2016,8,52
Taraba state,2017,7,152
Taraba state,2018,34,200
Taraba state,2019,37,159
Taraba state,2020,18,67
Taraba state,2021,14,68
Taraba state,2022,2,29
Taraba state,2023,11,124
Taraba state,2024,3,15
Yobe state,2003,1,1
Yobe state,2004,2,21
Yobe state,2009,4,56
Yobe state,2010,3,1
Yobe state,2011,9,154
Yobe state,2012,51,276
Yobe state,2013,21,290
Yobe state,2014,20,451
Yobe state,2015,43,502
Yobe state,2016,10,69
Yobe state,2017,9,68
Yobe state,2018,7,112
Yobe state,2019,15,97
Yobe state,2020,17,154
Yobe state,2021,29,151
Yobe state,2022,11,31
Yobe state,2023,19,170
Yobe state,2024,32,227
Zamfara state,2001,1,2
Zamfara state,2010,1,3
Zamfara state,2011,1,7
Zamfara state,2018,3,35
Zamfara state,2019,1,7
Zamfara state,2020,1,2
Zamfara state,2021,3,21
Zamfara state,2022,3,12
Zamfara state,2024,3,120
